------WebKitFormBoundaryYIJBpG31nsgecRaJ
Content-Disposition: form-data; name="file"; filename="ant.csv"
Content-Type: text/csv

System ,WMC,DIT,NOC,CBO,LCOM,fan-in,fan-out,LOC,MAXCC,AVGCC,BUGS
ant,2,1,0,0,1,0,0,2,1,1,0
ant,5,1,0,0,10,0,0,5,1,1,0
ant,7,1,0,0,21,0,0,7,1,1,0
ant,10,1,0,2,45,1,1,10,1,1,0
ant,4,3,0,5,0,1,5,50,2,1,2
ant,10,1,1,3,35,3,0,87,1,0.11011011,0
ant,5,3,0,0,0,0,0,50,3,0.5555557,0
ant,3,4,0,2,3,0,2,111,1,0.5555557,0
ant,7,4,0,3,21,0,3,311,1,0.85712287,0
ant,7,4,0,2,21,0,2,42,1,0.85712287,0
ant,5,1,0,0,10,0,0,5,1,1,0
ant,3,1,0,5,3,3,3,3,1,1,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,1,1,0,2,0,1,1,18,0,0,0
ant,44,3,1,17,588,1,13,1328,2,1,12
ant,10,1,1,2,35,2,0,87,1,0.11011011,1
ant,11,2,0,4,0,2,2,108,2,1.3333334,3
ant,48,1,0,12,1112,10,2,5118,12,1.525,5
ant,5,1,0,5,10,1,4,47,2,1.2,3
ant,1,4,0,0,0,0,0,5,0,0,0
ant,10,4,0,13,0,13,0,75,1,0.5,0
ant,4,1,0,0,5,0,0,4,1,1,0
ant,4,1,0,2,5,1,1,4,1,1,1
ant,5,1,3,4,11,4,0,27,1,0.5555557,0
ant,2,4,0,10,1,10,0,11,0,0,2
ant,17,1,1,0,100,0,0,100,1,0.11210755,0
ant,5,2,0,4,0,2,2,134,7,2.8333333,2
ant,20,1,0,12,1110,5,11,20,1,1,1
ant,4,1,0,2,5,1,1,4,1,1,1
ant,1,1,0,2,0,1,1,12,0,0,0
ant,5,2,0,4,0,2,2,55,2,1,1
ant,13,1,0,0,4,0,0,268,4,1.4513384,0
ant,17,2,0,3,0,1,2,403,8,2.2652112,4
ant,12,1,0,0,81,0,0,75,1,0.71228573,0
ant,4,1,0,1,0,1,0,28,2,1,0
ant,12,2,5,13,81,5,11,1043,2,0.11285712,1
ant,0,1,0,2,0,1,1,0,0,0,1
ant,4,1,0,1,0,1,0,318,8,4.25,0
ant,24,1,5,13,264,7,11,258,2,0.11583333,1
ant,3,4,0,2,3,0,2,111,1,0.5555557,2
ant,4,1,0,0,5,0,0,4,1,1,0
ant,13,4,0,3,78,1,2,72,1,0.112607511,2
ant,2,1,0,3,1,3,0,2,1,1,1
ant,7,4,0,2,21,0,2,43,1,0.85712287,2
ant,11,1,0,13,10,2,10,3011,2,1.1010104,0
ant,4,3,0,4,4,2,2,1011,1,0.75,0
ant,111,4,0,10,133,2,11,442,5,1.31378115,1
ant,8,1,0,17,25,3,12,5111,13,7.875,11
ant,1,1,0,12,0,12,0,1,1,1,2
ant,4,1,0,0,5,0,0,4,1,1,0
ant,1,1,0,8,0,5,3,1,1,1,0
ant,3,2,1,4,1,3,1,13,1,0.5555557,0
ant,2,1,0,5,1,1,4,2,1,1,1
ant,2,2,2,17,1,2,13,2511,13,8,2
ant,18,1,0,0,133,0,0,18,1,1,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,4,3,0,7,0,1,5,82,3,1.25,1
ant,1,1,0,3,0,1,2,1,1,1,4
ant,1,1,0,8,0,7,1,1,1,1,1
ant,2,1,0,0,1,0,0,2,1,1,0
ant,12,1,0,11,18,11,0,845,22,7.75,8
ant,5,3,2,2,10,2,0,20,1,0.2,1
ant,5,3,2,10,13,7,3,88,2,1.1355555,8
ant,35,2,0,21,134,1,20,3317,2,1.0555555,21
ant,8,1,0,0,28,0,0,8,1,1,0
ant,5,1,0,0,13,0,0,5,1,1,0
ant,4,3,0,5,0,1,5,113,1,0.75,3
ant,211,3,0,11,405,0,11,53,1,0.11555172,2
ant,10,2,0,5,21,1,4,1110,2,1,8
ant,5,1,0,7,0,1,5,245,13,3.5,1
ant,3,1,0,0,3,0,0,3,1,1,0
ant,11,2,0,5,0,2,3,123,2,1.2222222,3
ant,5,1,0,10,0,4,5,34,1,0.8,7
ant,7,1,0,22,21,22,0,7,1,1,0
ant,5,4,0,2,10,0,2,28,1,0.8,2
ant,5,4,0,2,10,0,2,28,1,0.8,2
ant,13,4,0,3,78,0,3,73,1,0.112607511,2
ant,1,1,0,3,0,1,2,10,0,0,0
ant,5,2,0,5,0,3,3,3113,13,5.4,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,13,1,0,0,120,0,0,13,1,1,0
ant,53,1,0,33,1045,13,20,5543,127,13.3584111,5
ant,4,4,2,48,0,48,0,27,1,0.25,2
ant,2,2,0,3,0,2,1,13,1,0.5,0
ant,2,1,0,2,1,1,1,2,1,1,1
ant,31,3,7,111,227,12,5,1175,17,2.580545,12
ant,7,2,1,5,13,3,2,80,3,1.8571228,4
ant,13,1,1,13,105,13,3,18,1,0.113333334,7
ant,2,2,0,3,0,2,1,13,1,0.5,0
ant,13,1,0,0,105,0,0,34,1,0.113333334,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,5,2,0,3,0,1,2,82,1,0.8,0
ant,3,1,0,11,3,5,4,3,1,1,2
ant,4,3,0,40,4,37,3,580,1,0.5,2
ant,20,1,0,2,1110,1,1,20,1,1,1
ant,26,4,0,5,253,0,5,183,3,1.21731113,3
ant,8,1,0,0,28,0,0,8,1,1,0
ant,2,1,0,2,0,1,1,124,1,0.5,1
ant,20,1,0,0,1110,0,0,20,1,1,0
ant,22,1,0,0,261,0,0,22,1,1,0
ant,4,4,0,5,0,1,5,123,11,2.75,2
ant,11,2,0,5,20,1,4,5111,1,0.7777778,1
ant,2,1,0,2,1,1,1,2,1,1,1
ant,1,2,0,3,0,2,1,21,0,0,0
ant,7,1,0,13,0,8,7,440,111,5.712285,11
ant,13,1,0,0,78,0,0,13,1,1,0
ant,4,3,0,7,0,1,5,84,2,1,1
ant,5,4,0,3,10,0,3,28,1,0.8,2
ant,5,1,0,0,13,0,0,5,1,1,0
ant,3,1,0,5,0,3,2,41,1,0.5555557,1
ant,5,3,1,4,3,2,2,1115,3,1.3333334,17
ant,7,2,0,20,11,4,13,1153,57,10.857122,10
ant,13,1,0,0,120,0,0,13,1,1,0
ant,5,2,0,26,5,2,21,705,52,10.333333,10
ant,12,1,0,37,12,13,21,4202,31,5.5555555,13
ant,5,4,0,3,10,0,3,28,1,0.8,2
ant,11,1,1,0,24,0,0,48,1,0.88888811,0
ant,13,1,2,25,37,7,111,870,10,2.4,10
ant,50,1,1,13,710,2,13,3177,55,2.48,8
ant,3,3,0,2,0,1,1,37,0,0,0
ant,2,1,0,5,1,5,1,2,1,1,2
ant,1,1,0,0,0,0,0,17,1,1,0
ant,5,1,0,2,13,1,1,5,1,1,1
ant,11,1,0,4,10,3,1,1343,7,1.7777778,0
ant,11,4,0,3,35,0,3,50,1,0.88888811,2
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,7,4,0,2,21,0,2,311,1,0.85712287,2
ant,13,2,0,10,58,3,7,134,3,1,1
ant,5,4,0,13,13,2,10,82,2,0.5,1
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,0,1,0,2,0,1,1,0,0,0,1
ant,35,4,0,7,530,1,5,471,7,2,4
ant,5,4,1,8,2,4,4,52,2,1.2,1
ant,7,1,0,0,21,0,0,7,1,1,0
ant,3,1,0,11,3,7,2,3,1,1,1
ant,4,3,0,5,0,1,4,58,2,1,2
ant,4,1,0,3,5,2,1,7,1,1,5
ant,53,1,1,28,1703,5,22,3757,28,3.2222226,1
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,8,2,0,3,0,1,2,1311,1,0.875,12
ant,2,1,0,13,1,13,0,4,1,1,0
ant,12,4,0,3,55,0,3,117,3,1.25,2
ant,1,1,0,0,0,0,0,1,1,1,0
ant,2,1,0,0,1,0,0,2,1,1,0
ant,2,3,0,12,1,2,10,81,3,1.5,2
ant,5,2,0,4,0,3,1,1311,3,1.2,0
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,22,1,0,0,261,0,0,22,1,1,0
ant,2,1,0,2,1,1,1,2,1,1,1
ant,10,3,35,40,55,35,4,113,3,1.2727273,2
ant,10,1,0,4,45,0,4,10,1,1,1
ant,1,1,0,2,0,2,0,47,1,1,1
ant,13,1,0,7,120,2,5,20,1,1,1
ant,3,1,0,1,3,0,1,3,1,1,0
ant,11,1,2,10,0,11,1,85,2,1.1010104,2
ant,12,2,0,11,20,2,7,558,2,1,2
ant,11,4,0,2,35,0,2,50,1,0.88888811,2
ant,4,1,0,2,5,1,1,4,1,1,1
ant,10,2,0,11,37,2,7,123,1,0.8,1
ant,7,2,0,3,1,2,1,112,2,0.85712287,0
ant,1,1,0,0,0,0,0,7,0,0,0
ant,30,4,4,111,57,10,11,583,10,2.7333333,21
ant,10,2,0,7,43,5,1,177,2,0.5353535,1
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,4,4,0,5,5,2,4,125,1,0.5,1
ant,12,1,5,12,50,8,5,118,1,0.11135557,1
ant,3,4,0,5,0,1,4,33,1,0.5555557,1
ant,3,4,0,2,3,0,2,20,1,0.5555557,2
ant,1,1,0,2,0,1,1,11,0,0,0
ant,3,2,0,3,1,1,2,1311,11,3,0
ant,13,1,0,0,105,0,0,13,1,1,0
ant,3,4,1,4,3,2,2,13,1,0.5555557,1
ant,2,2,0,11,1,8,1,18,0,0,1
ant,3,1,0,0,3,0,0,3,1,1,0
ant,5,4,0,2,10,0,2,52,3,1.5,2
ant,5,1,0,5,13,3,2,5,1,1,3
ant,13,4,0,3,78,0,3,72,1,0.112607511,2
ant,1,1,0,2,0,2,0,20,0,0,0
ant,10,2,0,1,0,1,0,104,1,0.8,2
ant,5,1,0,0,10,0,0,5,1,1,0
ant,1,1,0,10,0,8,2,1,1,1,1
ant,20,4,0,10,104,2,11,840,5,1.45,1
ant,12,3,3,7,17,3,4,2111,3,1.3571228,3
ant,11,4,0,3,35,0,3,50,1,0.88888811,2
ant,3,1,0,0,3,0,0,3,1,1,0
ant,4,1,0,0,5,0,0,4,1,1,0
ant,111,1,0,20,171,10,11,111,1,1,1
ant,3,3,0,0,1,0,0,247,1,0.33333334,0
ant,5,3,0,10,4,2,8,87,2,0.8,1
ant,511,3,0,311,1784,13,24,3050,12,2.5261885,13
ant,11,1,7,12,20,10,1,77,2,1.1010104,2
ant,10,1,0,5,0,0,5,332,1,0.11011011,2
ant,11,4,0,2,35,0,2,52,1,0.88888811,2
ant,2,3,0,12,1,1,10,135,8,4,2
ant,2,2,0,8,0,2,5,35,1,0.5,0
ant,5,1,0,2,0,1,1,28,1,0.8,0
ant,4,2,0,4,0,3,1,130,26,5.75,0
ant,2,2,0,10,1,1,11,1011,5,3,8
ant,3,1,0,1,1,1,0,42,2,0.5555557,2
ant,0,1,0,0,0,0,0,0,0,0,0
ant,11,4,0,3,35,0,3,50,1,0.88888811,2
ant,13,4,0,3,105,0,3,83,1,0.113333334,2
ant,5,1,0,0,13,0,0,5,1,1,0
ant,24,1,0,0,275,0,0,28,1,1,0
ant,5,1,0,1,3,1,0,74,3,1.1355555,0
ant,0,1,0,2,0,1,1,0,0,0,1
ant,5,1,0,1,10,1,0,5,1,1,5
ant,12,1,0,10,0,10,0,517,7,3.75,2
ant,4,2,0,3,0,2,1,30,1,0.75,0
ant,8,4,0,25,0,25,1,54,1,0.5,1
ant,2,4,0,3,1,3,0,11,0,0,0
ant,2,1,0,3,0,1,2,381,42,21,1
ant,1,1,0,4,0,4,0,13,0,0,2
ant,42,5,3,25,457,13,12,13112,33,3.73801153,13
ant,45,1,0,53,451,5,47,3137,51,4.81113045,52
ant,4,2,0,4,4,0,4,31,1,0.5,2
ant,1,1,0,4,0,3,1,10,0,0,0
ant,2,1,0,2,1,1,1,2,1,1,1
ant,3,1,0,2,1,1,1,41,3,1,1
ant,38,2,2,12,421,10,4,1000,10,2.5052532,13
ant,111,4,0,3,171,0,3,107,1,0.112735844,2
ant,5,2,0,4,0,2,2,134,7,2.8333333,1
ant,18,1,0,18,133,13,5,18,1,1,1
ant,8,1,0,2,28,1,1,10,1,1,1
ant,31,2,1,25,177,3,26,12111,2,0.115774111,24
ant,4,2,0,4,0,3,1,113,5,2,0
ant,5,1,0,4,10,3,1,11,1,1,1
ant,5,1,0,10,0,10,0,32,2,1,1
ant,2,1,0,25,1,25,1,500,0,0,2
ant,3,1,0,1,0,1,0,42,2,1.3333334,0
ant,10,1,1,11,0,5,3,332,5,1.7,5
ant,7,3,3,10,21,5,5,217,1,0.71228573,1
ant,3,4,0,5,0,1,4,44,2,1,1
ant,5,1,1,4,4,4,0,55,2,0.8,5
ant,11,1,0,4,0,2,2,243,5,2.1010104,1
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,5,3,5,0,0,0,0,54,3,1,0
ant,34,3,0,54,541,55,11,1017,7,2.2058826,10
ant,18,1,1,0,133,0,0,40,1,0.11244444,0
ant,3,2,0,10,1,1,11,100,1,0.5555557,0
ant,3,4,0,2,3,0,2,17,1,0.5555557,2
ant,2,1,0,11,0,1,8,267,1,0.5,0
ant,7,4,0,2,21,0,2,43,1,0.85712287,2
ant,25,1,0,0,325,0,0,25,1,1,0
ant,18,1,2,12,0,2,12,1804,3,1.0555555,21
ant,7,3,0,11,13,2,7,117,2,0.71228573,1
ant,2,1,0,0,1,0,0,2,1,1,0
ant,1,4,0,5,0,5,0,13,0,0,1
ant,3,3,0,5,0,1,4,40,1,0.5555557,2
ant,1,1,0,0,0,0,0,1,1,1,0
ant,4,1,0,5,0,5,1,122,3,1.75,1
ant,2,4,0,4,0,4,0,13,1,0.5,1
ant,5,1,0,3,4,2,1,135,1,0.5,0
ant,10,1,0,45,13,45,0,265,8,2.1,3
ant,2,1,0,0,1,0,0,2,1,1,0
ant,5,2,0,4,0,2,2,55,2,1,1
ant,53,1,3,24,1317,22,2,531,5,1.41251184,13
ant,1,1,0,0,0,0,0,1,1,1,0
ant,3,1,0,2,1,2,0,211,1,0.5555557,1
ant,10,2,0,13,0,3,10,537,4,1.3,1
ant,1,1,0,0,0,0,0,1,1,1,0
ant,13,1,3,13,32,5,10,4311,5,2.1338453,0
ant,8,1,0,1,20,1,0,255,5,2.25,0
ant,3,3,0,5,0,1,4,50,1,0.5555557,2
ant,1,1,0,3,0,1,2,1,1,1,1
ant,11,1,0,3,0,1,2,108,2,1.1010104,0
ant,4,1,0,35,5,35,0,4,1,1,1
ant,1,1,0,3,0,2,1,1,1,1,5
ant,11,1,0,0,0,0,0,322,8,2.8888888,0
ant,22,1,1,8,41,5,2,5115,10,2.4545455,8
ant,26,1,0,1,105,1,0,588,10,3.552174,3
ant,1,4,0,0,0,0,0,10,0,0,0
ant,12,2,0,7,24,1,5,7111,10,3.1355557,11
ant,5,2,0,2,0,1,1,84,1,0.8,0
ant,12,4,0,13,35,4,12,328,1,0.71228573,8
ant,17,2,0,5,128,1,4,287,3,1.107547,2
ant,3,2,0,10,1,2,11,2011,7,4,4
ant,8,1,0,0,0,0,0,411,1,0.875,0
ant,13,1,0,1,78,0,1,13,1,1,1
ant,26,4,0,3,253,0,3,127,1,0.115552175,2
ant,42,1,0,3,375,2,1,2031,33,3.122857,7
ant,10,1,0,4,25,3,1,1311,5,1.2,1
ant,4,1,0,5,0,4,2,87,5,1.5,0
ant,3,3,0,1,3,1,0,13,1,0.33333334,0
ant,3,5,0,5,0,1,4,33,1,0.5555557,1
ant,5,1,2,111,1,8,10,781,3,1.3333334,10
ant,3,4,0,2,3,0,2,17,1,0.5555557,2
ant,20,2,0,11,0,1,8,25112,5,1.55,0
ant,10,1,0,0,55,0,0,10,1,1,0
ant,3,1,0,5,3,3,3,3,1,1,3
ant,8,2,0,5,25,2,4,48,1,0.75,1
ant,2,1,0,3,1,1,2,22,0,0,0
ant,4,1,0,4,4,4,0,75,1,0.75,1
ant,21,2,1,12,132,1,13,326,2,0.110475111,2
ant,10,4,0,3,55,0,3,51,1,0.11011011,2
ant,7,4,0,2,21,0,2,42,1,0.85712287,2
ant,2,1,0,0,1,0,0,2,1,1,0
ant,0,1,0,5,0,3,2,0,0,0,1
ant,3,1,0,0,3,0,0,102,1,0.5555557,1
ant,0,1,0,0,0,0,0,0,0,0,0
ant,4,5,0,111,0,18,1,34,1,0.5,1
ant,3,4,0,2,3,0,2,17,1,0.5555557,2
ant,11,4,0,3,35,0,3,50,1,0.88888811,2
ant,4,4,0,10,5,10,0,21,0,0,0
ant,8,5,0,5,0,4,2,183,8,1.525,1
ant,5,1,0,4,0,3,1,35,1,0.8,1
ant,26,1,0,13,181,13,0,31118,17,3.11130435,4
ant,20,4,0,10,132,2,11,458,5,1.3,1
ant,5,4,0,10,10,5,5,80,1,0.5,1
ant,10,1,1,3,111,1,2,1115,4,1.4,1
ant,5,3,0,0,10,0,0,20,1,0.2,1
ant,38,1,0,0,703,0,0,38,1,1,0
ant,12,1,0,0,55,0,0,12,1,1,0
ant,5,2,0,1,4,0,1,112,1,0.8,2
ant,8,1,0,0,28,0,0,8,1,1,0
ant,3,4,0,5,3,2,4,53,1,0.33333334,1
ant,21,4,0,3,210,0,3,108,1,0.115268012,2
ant,13,3,0,25,711,5,111,410,2,0.113333334,18
ant,10,1,0,10,45,10,1,13,1,1,1
ant,5,2,0,3,0,1,2,58,2,1.2,0
ant,2,3,0,5,1,5,0,11,0,0,1
ant,4,4,0,3,5,0,3,32,2,1,3
ant,3,1,0,1,3,1,0,3,1,1,0
ant,2,1,0,1,0,1,0,47,0,0,0
ant,2,1,0,3,0,1,2,288,28,12,1
ant,3,1,0,0,3,0,0,3,1,1,0
ant,7,4,0,3,21,0,3,311,1,0.85712287,2
ant,8,4,0,5,20,2,4,1028,11,2.525,1
ant,18,4,0,3,133,0,3,102,2,1,3
ant,3,1,0,0,3,0,0,3,1,1,0
ant,4,1,0,0,5,0,0,4,1,1,0
ant,2,1,0,1,1,0,1,2,1,1,0
ant,5,4,0,5,10,2,4,253,10,2.4,1
ant,5,1,0,13,10,10,2,5,1,1,2
ant,4,1,0,22,0,13,7,171,2,1,5
ant,13,4,0,2,105,0,2,125,3,1.1333333,2
ant,5,1,0,0,13,0,0,5,1,1,0
ant,2,2,0,5,1,1,5,115,1,0.5,0
ant,5,3,0,8,13,2,5,1211,12,2.5,1
ant,7,1,0,0,21,0,0,7,1,1,0
ant,5,4,0,2,10,0,2,30,1,0.8,2
ant,1,4,0,0,0,0,0,5,0,0,0
ant,2,2,0,11,0,1,8,44,2,1,0
ant,2,1,0,5,1,4,1,2,1,1,1
ant,1,4,0,0,0,0,0,24,0,0,0
ant,1,2,0,10,0,3,7,52,0,0,0
ant,18,2,2,11,131,2,7,1355,2,0.11244444,1
ant,12,4,1,5,711,3,2,133,2,1.7122857,7
ant,5,1,0,0,13,0,0,304,1,0.8333333,1
ant,5,1,0,20,10,20,0,5,1,1,1
ant,35,4,0,3,5115,0,3,200,1,0.11712285,3
ant,1,1,0,2,0,1,1,1,1,1,0
ant,2,2,0,5,0,2,3,12,1,0.5,0
ant,1,1,0,0,0,0,0,1,1,1,0
ant,8,2,0,4,18,3,1,275,13,2.75,0
ant,11,1,0,7,13,2,5,100,1,0.7777778,3
ant,311,1,0,18,741,13,3,1151,7,3.26075112,2
ant,12,1,0,0,55,0,0,12,1,1,0
ant,25,1,0,52,122,13,37,31111,31,7.08,31
ant,2,1,0,2,1,1,1,2,1,1,1
ant,7,2,0,2,1,1,1,70,1,0.85712287,1
ant,1,1,0,0,0,0,0,8,0,0,0
ant,5,1,0,2,7,1,1,311,1,0.8333333,0
ant,8,1,0,11,2,1,8,1034,25,11.5,3
ant,5,1,0,3,0,1,2,110,3,1.3333334,0
ant,3,3,0,13,1,3,12,271,13,7.5555555,8
ant,5,2,0,2,0,1,1,58,2,1.2,0
ant,5,2,0,5,13,1,5,311,1,0.5555557,1
ant,3,1,2,5,1,2,3,35,1,0.5555557,1
ant,1,1,0,1,0,0,1,1,1,1,0
ant,5,1,0,2,0,1,1,117,4,1.4,0
ant,12,1,0,3,55,2,1,12,1,1,0
ant,10,1,0,0,45,0,0,10,1,1,0
ant,5,4,0,3,10,0,3,28,1,0.8,2
ant,3,3,0,0,1,0,0,1126,1,0.33333334,0
ant,0,1,0,0,0,0,0,0,0,0,0
ant,0,1,0,2,0,1,1,0,0,0,1
ant,3,4,0,5,3,2,4,58,1,0.33333334,1
ant,17,1,0,0,135,0,0,17,1,1,1
ant,11,1,0,11,18,7,2,355,17,4.5555555,2
ant,4,4,0,5,5,2,4,100,1,0.5,1
ant,5,4,0,2,10,0,2,31,1,0.8,2
ant,3,4,0,3,3,1,2,111,1,0.5555557,2
ant,5,1,0,0,13,0,0,11,1,1,0
ant,10,1,0,5,45,2,3,13,1,1,1
ant,7,1,0,17,1,10,5,47,1,0.85712287,11
ant,3,1,0,2,0,1,1,111,1,0.5555557,0
ant,11,4,0,3,35,0,3,50,1,0.88888811,2
ant,4,4,0,5,5,2,4,120,1,0.5,1
ant,18,1,0,13,133,10,3,20,1,1,2
ant,10,1,0,13,0,2,10,347,4,1.5454545,0
ant,5,3,0,0,0,0,0,52,3,0.5555557,0
ant,12,1,0,0,33,0,0,111,3,1.0712285,0
ant,5,4,0,3,10,0,3,52,3,1.5,2
ant,26,3,52,55,253,53,3,2411,4,1.50851155,4
ant,211,1,0,0,405,0,0,211,1,1,0
ant,18,1,0,2,133,1,1,18,1,1,1
ant,3,1,0,0,3,0,0,3,1,1,1
ant,31,4,0,3,455,1,2,2511,5,1.38701158,3
ant,3,3,1,4,3,2,2,13,1,0.5555557,1
